id	name
1a	"Help Wanted"
1b	"Reef Blower"
1c	"Tea at the Treedome"
2a	"Bubblestand"
2b	"Ripped Pants"
3a	"Jellyfishing"
3b	"Plankton!"
4a	"Naughty Nautical Neighbors"
4b	"Boating School"
5a	"Pizza Delivery"
5b	"Home Sweet Pineapple"
6a	"Mermaid Man and Barnacle Boy"
6b	"Pickles"
7a	"Hall Monitor"
7b	"Jellyfish Jam"
8a	"Sandy's Rocket"
8b	"Squeaky Boots"
9a	"Nature Pants"
9b	"Opposite Day"
10a	"Culture Shock"
10b	"F.U.N."
11a	"MuscleBob BuffPants"
11b	"Squidward the Unfriendly Ghost"
12a	"The Chaperone"
12b	"Employee of the Month"
13a	"Scaredy Pants"
13b	"I Was a Teenage Gary"
14a	"SB-129"
14b	"Karate Choppers"
15a	"Sleepy Time"
15b	"Suds"
16a	"Valentine's Day"
16b	"The Paper"
17a	"Arrgh!"
17b	"Rock Bottom"
18a	"Texas"
18b	"Walking Small"
19a	"Fools in April"
19b	"Neptune's Spatula"
20a	"Hooky"
20b	"Mermaid Man and Barnacle Boy II"
21a	"Your Shoe's Untied"
21b	"Squid's Day Off"
22a	"Something Smells"
22b	"Bossy Boots"
23a	"Big Pink Loser"
23b	"Bubble Buddy"
24a	"Dying for Pie"
24b	"Imitation Krabs"
25a	"Wormy"
25b	"Patty Hype"
26a	"Grandma's Kisses"
26b	"Squidville"
27a	"Prehibernation Week"
27b	"Life of Crime"
28	"Christmas Who?"
29a	"Survival of the Idiots"
29b	"Dumped"
30a	"No Free Rides"
30b	"I'm Your Biggest Fanatic"
31a	"Mermaid Man and Barnacle Boy III"
31b	"Squirrel Jokes"
32a	"Pressure"
32b	"The Smoking Peanut"
33a	"Shanghaied"
33b	"Gary Takes a Bath"
34a	"Welcome to the Chum Bucket"
34b	"Frankendoodle"
35a	"The Secret Box"
35b	"Band Geeks"
36a	"Graveyard Shift"
36b	"Krusty Love"
37a	"Procrastination"
37b	"I'm With Stupid"
38a	"Sailor Mouth"
38b	"Artist Unknown"
39a	"Jellyfish Hunter"
39b	"The Fry Cook Games"
40a	"Squid on Strike"
40b	"Sandy, SpongeBob, and the Worm"
41a	"The Algae's Always Greener"
41b	"SpongeGuard on Duty"
42a	"Club SpongeBob"
42b	"My Pretty Seahorse"
43a	"Just One Bite"
43b	"The Bully"
44a	"Nasty Patty"
44b	"Idiot Box"
45a	"Mermaid Man and Barnacle Boy IV"
45b	"Doing Time"
46a	"Snowball Effect"
46b	"One Krabs Trash"
47a	"As Seen on TV"
47b	"Can You Spare a Dime?"
48a	"No Weenies Allowed"
48b	"Squilliam Returns"
49a	"Krab Borg"
49b	"Rock-a-Bye Bivalve"
50a	"Wet Painters"
50b	"Krusty Krab Training Video"
51	"Party Pooper Pants"
52a	"Chocolate with Nuts"
52b	"Mermaid Man and Barnacle Boy V"
53a	"New Student Starfish"
53b	"Clams"
54	"Ugh"
55a	"The Great Snail Race"
55b	"Mid-Life Crustacean"
56a	"Born Again Krabs"
56b	"I Had an Accident"
57a	"Krabby Land"
57b	"The Camping Episode"
58a	"Missing Identity"
58b	"Plankton's Army"
59	"The Sponge Who Could Fly"
60a	"SpongeBob Meets the Strangler"
60b	"Pranks a Lot"